There are/is 299 red points in image
The full report is: 
{:rgb=>"248,248,251", :percent=>0.0, :quantity=>10}
{:rgb=>"248,248,252", :percent=>0.0, :quantity=>10}
{:rgb=>"252,251,255", :percent=>0.0, :quantity=>10}
{:rgb=>"254,255,255", :percent=>0.0, :quantity=>10}
{:rgb=>"0,51,136", :percent=>0.0, :quantity=>9}
{:rgb=>"0,53,137", :percent=>0.0, :quantity=>9}
{:rgb=>"0,58,138", :percent=>0.0, :quantity=>9}
{:rgb=>"0,72,142", :percent=>0.0, :quantity=>9}
{:rgb=>"19,78,147", :percent=>0.0, :quantity=>9}
{:rgb=>"22,79,151", :percent=>0.0, :quantity=>9}
{:rgb=>"24,79,147", :percent=>0.0, :quantity=>9}
{:rgb=>"74,102,158", :percent=>0.0, :quantity=>9}
{:rgb=>"95,117,163", :percent=>0.0, :quantity=>9}
{:rgb=>"94,114,165", :percent=>0.0, :quantity=>9}
{:rgb=>"92,114,171", :percent=>0.0, :quantity=>9}
{:rgb=>"105,123,172", :percent=>0.0, :quantity=>9}
{:rgb=>"151,162,196", :percent=>0.0, :quantity=>9}
{:rgb=>"179,186,216", :percent=>0.0, :quantity=>9}
{:rgb=>"192,195,222", :percent=>0.0, :quantity=>9}
{:rgb=>"206,210,222", :percent=>0.0, :quantity=>9}
{:rgb=>"211,215,225", :percent=>0.0, :quantity=>9}
{:rgb=>"212,216,228", :percent=>0.0, :quantity=>9}
{:rgb=>"211,212,234", :percent=>0.0, :quantity=>9}
{:rgb=>"231,232,243", :percent=>0.0, :quantity=>9}
{:rgb=>"234,234,246", :percent=>0.0, :quantity=>9}
{:rgb=>"239,240,248", :percent=>0.0, :quantity=>9}
{:rgb=>"241,242,247", :percent=>0.0, :quantity=>9}
{:rgb=>"244,244,250", :percent=>0.0, :quantity=>9}
{:rgb=>"251,251,255", :percent=>0.0, :quantity=>9}
{:rgb=>"0,38,135", :percent=>0.0, :quantity=>8}
{:rgb=>"0,55,138", :percent=>0.0, :quantity=>8}
{:rgb=>"0,57,138", :percent=>0.0, :quantity=>8}
{:rgb=>"0,58,139", :percent=>0.0, :quantity=>8}
{:rgb=>"0,60,140", :percent=>0.0, :quantity=>8}
{:rgb=>"0,64,142", :percent=>0.0, :quantity=>8}
{:rgb=>"0,70,144", :percent=>0.0, :quantity=>8}
{:rgb=>"0,70,145", :percent=>0.0, :quantity=>8}
{:rgb=>"0,73,146", :percent=>0.0, :quantity=>8}
{:rgb=>"5,75,145", :percent=>0.0, :quantity=>8}
{:rgb=>"0,74,152", :percent=>0.0, :quantity=>8}
{:rgb=>"0,75,152", :percent=>0.0, :quantity=>8}
